id_tenrac,nom,prenom,courriel,telephone,adresse_postale,id_grade,id_entretien
1,Navarro,Aureille,aureille.navarro1@amu.fr,0600000001,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8294, 43.5945, NULL), NULL, NULL)",2,70
2,Poulin,Maxime,maxime.poulin2@amu.fr,0600000002,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8653, 43.3185, NULL), NULL, NULL)",6,1
3,Rousseau,Bruno,bruno.rousseau3@amu.fr,0600000003,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3498, 43.4919, NULL), NULL, NULL)",1,1
4,Laverand,Sandrine,sandrine.laverand4@amu.fr,0600000004,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8957, 43.3169, NULL), NULL, NULL)",1,76
5,Girard,Gabriel,gabriel.girard5@amu.fr,0600000005,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4493, 43.9774, NULL), NULL, NULL)",4,49
6,Vincent,Mael,mael.vincent6@amu.fr,0600000006,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.4625, 43.9834, NULL), NULL, NULL)",6,47
7,Bonnet,Donald,donald.bonnet7@amu.fr,0600000007,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7187, 43.0435, NULL), NULL, NULL)",2,48
8,Francois,Hugo,hugo.francois8@amu.fr,0600000008,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1759, 43.6516, NULL), NULL, NULL)",6,67
9,Roy,Evelyne,evelyne.roy9@amu.fr,0600000009,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3603, 43.7755, NULL), NULL, NULL)",6,12
10,Mouse,Aurelie,aurelie.mouse10@amu.fr,0600000010,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8665, 43.6653, NULL), NULL, NULL)",4,33
11,White,Eric,eric.white11@amu.fr,0600000011,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.084, 43.0821, NULL), NULL, NULL)",3,28
12,Picard,Therese,therese.picard12@amu.fr,0600000012,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5521, 43.9927, NULL), NULL, NULL)",4,65
13,Lemaire,Julien,julien.lemaire13@amu.fr,0600000013,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5433, 43.1708, NULL), NULL, NULL)",1,67
14,Laurent,Karine,karine.laurent14@amu.fr,0600000014,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0951, 43.0784, NULL), NULL, NULL)",2,49
15,Roussel,Michele,michele.roussel15@amu.fr,0600000015,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.7359, 43.3263, NULL), NULL, NULL)",2,1
16,Cote,Sebastien,sebastie.cote16@amu.fr,0600000016,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0741, 43.222, NULL), NULL, NULL)",6,73
17,Richard,Lisa,lisa.richard17@amu.fr,0600000017,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6349, 43.3364, NULL), NULL, NULL)",5,18
18,Marchand,Marianne,marianne.marchand18@amu.fr,0600000018,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.167, 43.9195, NULL), NULL, NULL)",6,53
19,Sabreur,Guy,guy.sabreur19@amu.fr,0600000019,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.3518, 43.4505, NULL), NULL, NULL)",3,19
20,Nevot,Ambrine,ambrine.nevot20@amu.fr,0600000020,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.2855, 43.4349, NULL), NULL, NULL)",1,30
21,Lambert,Pascale,pascale.lambert21@amu.fr,0600000021,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1484, 43.846, NULL), NULL, NULL)",4,47
22,Boule,Claire,claire.boule22@amu.fr,0600000022,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.8923, 43.8923, NULL), NULL, NULL)",1,73
23,Gomez,Patricia,patricia.gomez23@amu.fr,0600000023,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.456, 43.1116, NULL), NULL, NULL)",1,18
24,Mercier,Christophe,christop.mercier24@amu.fr,0600000024,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9638, 43.6915, NULL), NULL, NULL)",2,66
25,Fernandez,Benoit,benoit.fernande25@amu.fr,0600000025,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.1091, 43.9721, NULL), NULL, NULL)",3,75
26,Moreau,Romain,romain.moreau26@amu.fr,0600000026,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.6924, 43.4419, NULL), NULL, NULL)",5,43
27,Barbier,Josiane,josiane.barbier27@amu.fr,0600000027,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.0702, 43.1305, NULL), NULL, NULL)",1,71
28,Morin,Monique,monique.morin28@amu.fr,0600000028,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.5622, 43.6035, NULL), NULL, NULL)",2,75
29,Agostinelli,Claire,claire.agostine29@amu.fr,0600000029,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.9721, 43.5572, NULL), NULL, NULL)",6,48
30,Martel,Valerie,valerie.martel30@amu.fr,0600000030,"MDSYS.SDO_GEOMETRY(2001, 8307, MDSYS.SDO_POINT_TYPE(5.911, 43.4463, NULL), NULL, NULL)",6,40
